state	age(ph)
0.0	2021.8862962181095
10000.0	2021.895214060886
20000.0	2021.890318986151
30000.0	2021.9075111402665
40000.0	2021.9001438900218
50000.0	2021.9081236558907
60000.0	2021.9005238360226
70000.0	2021.9037582735634
80000.0	2021.9009837052804
90000.0	2021.8771077436409
100000.0	2021.894489346279
110000.0	2021.8898489231076
120000.0	2021.8873115129995
130000.0	2021.892060807186
140000.0	2021.8415411470085
150000.0	2021.8736645656081
160000.0	2021.8613484486282
170000.0	2021.8594901574581
180000.0	2021.8662562196344
190000.0	2021.892461590302
200000.0	2021.8953098904399
210000.0	2021.885260547098
220000.0	2021.8800459877982
230000.0	2021.8752332235758
240000.0	2021.8801570250532
250000.0	2021.8939536596115
260000.0	2021.893062156364
270000.0	2021.8743757625757
280000.0	2021.8739690525708
290000.0	2021.8679843837174
300000.0	2021.8893693387297
310000.0	2021.8766750260902
320000.0	2021.8822134825539
330000.0	2021.8890673954427
340000.0	2021.8951532822064
350000.0	2021.8990384195688
360000.0	2021.9007956345429
370000.0	2021.8985483044285
380000.0	2021.9045065802238
390000.0	2021.9080864017171
400000.0	2021.8970265170835
410000.0	2021.8881258637575
420000.0	2021.890221374395
430000.0	2021.8919051544174
440000.0	2021.8779444277006
450000.0	2021.9005635021479
460000.0	2021.901438731705
470000.0	2021.905192001851
480000.0	2021.9000379897082
490000.0	2021.902371286327
500000.0	2021.9004800844546
510000.0	2021.871686725594
520000.0	2021.8776877994667
530000.0	2021.8785146509013
540000.0	2021.8508660009657
550000.0	2021.853356420606
560000.0	2021.866234534091
570000.0	2021.8799847548864
580000.0	2021.8708723836094
590000.0	2021.8574368806278
600000.0	2021.8598124424477
610000.0	2021.898861634445
620000.0	2021.899117438288
630000.0	2021.896154733586
640000.0	2021.8820355299747
650000.0	2021.8971895666027
660000.0	2021.8905315429877
670000.0	2021.9000944240393
680000.0	2021.9008693198875
690000.0	2021.8932413252144
700000.0	2021.8942560762273
710000.0	2021.8874493735675
720000.0	2021.8799453830393
730000.0	2021.887172395238
740000.0	2021.8940855702035
750000.0	2021.891417252176
760000.0	2021.879075541073
770000.0	2021.8910627951257
780000.0	2021.8791053617967
790000.0	2021.8780163976514
800000.0	2021.8874290154117
810000.0	2021.8772131485846
820000.0	2021.8852893979729
830000.0	2021.8849544698214
840000.0	2021.9007183297929
850000.0	2021.8954623896207
860000.0	2021.8985056755191
870000.0	2021.8865108434895
880000.0	2021.8857451672427
890000.0	2021.8830103955988
900000.0	2021.8854359372547
910000.0	2021.8811289431858
920000.0	2021.8711216273637
930000.0	2021.8741574282108
940000.0	2021.884256713589
950000.0	2021.8728035180775
960000.0	2021.8725561077345
970000.0	2021.8833868811605
980000.0	2021.8845200491796
990000.0	2021.8856433140536
1000000.0	2021.8748407000949
1010000.0	2021.8893474088832
1020000.0	2021.866224907602
1030000.0	2021.8969236329822
1040000.0	2021.900641060184
1050000.0	2021.8686165504737
1060000.0	2021.8816119741641
1070000.0	2021.8765350921547
1080000.0	2021.9070099288715
1090000.0	2021.893631454768
1100000.0	2021.897927254124
1110000.0	2021.8964960768437
1120000.0	2021.877433641725
1130000.0	2021.895732721744
1140000.0	2021.8974046230005
1150000.0	2021.8975397005554
1160000.0	2021.8954110664072
1170000.0	2021.8931681511851
1180000.0	2021.865475468207
1190000.0	2021.8264355366568
1200000.0	2021.8583779069347
1210000.0	2021.8709621944631
1220000.0	2021.8868981658188
1230000.0	2021.8985470780929
1240000.0	2021.9030168931895
1250000.0	2021.8935500599425
1260000.0	2021.873596765852
1270000.0	2021.88913097464
1280000.0	2021.8836467365556
1290000.0	2021.8914228526928
1300000.0	2021.8868211286633
1310000.0	2021.8756268458942
1320000.0	2021.877346869662
1330000.0	2021.8953835420518
1340000.0	2021.885845130039
1350000.0	2021.883080731564
1360000.0	2021.8414163352802
